item_id,source,environment,disposition,reason
thm:mpdo_virtual_perBlockLinearExtension_mul,src/chapter/ch21_mpdo_rfp_bnt_theorem_data.tex,theorem,tn,matrix-product-density-operator statement
thm:mpu_admissible_conjugation_even_rank,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_admissible_conjugation_odd_rank,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_admissible_fundamental,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_admissible_index,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_admissible_simple_tensor_equivalence,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_source_u_complete_network,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:mpu_source_v_complete_reduced_contraction,src/chapter/ch28_mpu.tex,theorem,tn,matrix-product-unitary statement
thm:normal_mps_parent_hamiltonian_gap,src/chapter/ch13_parent_hamiltonian_spectral_gap_martingale.tex,theorem,tn,parent-Hamiltonian statement
thm:peps_normalEdgeBlockingToInjectiveChain,src/chapter/ch24_peps_ft_normal_square_blocking_and_fundamental.tex,theorem,tn,projected-entangled-pair-state statement
thm:peps_tiNormalGaugeAbsorption,src/chapter/ch24_peps_ft_normal_square_blocking_and_fundamental.tex,theorem,tn,projected-entangled-pair-state statement
thm:periodic_ft,src/chapter/ch22_periodic_ft_equal_case_statement.tex,theorem,tn,periodic matrix-product-state statement
thm:periodic_ft_proportional,src/chapter/ch22_periodic_ft_overlap_sector_match_and_consequences.tex,theorem,tn,periodic matrix-product-state statement
thm:pgwsvc08_physical_string_order,src/chapter/ch12_symmetry_string_order.tex,theorem,tn,matrix-product-state symmetry statement
